,,,,,,
ID,State,Avg_Price,,,,
1,Connecticut,17.55,,,,
2,Maine,13.02,,,,
3,Massachusetts,17.12,,,,
4,New Hampshire,16.17,,,,
5,Rhode Island,16.42,,,,
6,Vermont,14.60,,,,
7,New Jersey,13.32,,,,
8,New York,14.74,,,,
9,Pennsylvannia,10.13,,,,
10,Illionois,9.49,,,,
11,Indiana,9.77,,,,
12,Michigan,11.28,,,,
13,Ohio,9.84,,,,
14,Wisconsin,10.76,,,,
15,Iowa,8.73,,,,
16,Kansas,10.60,,,,
17,Minnesota,10.27,,,,
18,Missouri,10.03,,,,
19,Nebraska,9.08,,,,
20,North Dakota,8.78,,,,
21,South Dakota,10.05,,,,
22,Delaware,10.9,,,,
23,District of Columbia,11.8,,,,
24,Florida,10.42,,,,
25,Georgia,9.83,,,,
26,Maryland,11.98,,,,
27,North Carolina,9.04,,,,
28,South Carolina,9.97,,,,
29,Virginia,9.18,,,,
30,West Virginia,9.00,,,,
31,Alabama,9.83,,,,
32,Kentucky,8.57,,,,
33,Mississippi,9.09,,,,
34,Tennessee,9.45,,,,
35,Arkansas,8.26,,,,
36,Louisiana,7.79,,,,
37,Oklahoma,8.20,,,,
38,Texas,8.38,,,,
39,Arizona,10.64,,,,
40,Colorado,9.99,,,,
41,Idaho,8.26,,,,
42,Montana,8.92,,,,
43,Nevada,8.76,,,,
44,New Mexico,9.59,,,,
45,Utah,8.60,,,,
46,Wyoming,8.28,,,,
47,California,16.06,,,,
48,Oregon,8.81,,,,
49,Washington,7.94,,,,
50,Alaska,10.1,,,,
51,Hawaii,26.05,,,,
